CBB_Ref,Type,Section,Requirement_Summary_EN,Requirement_Summary_AR,ISO_27001_2022,NIST_CSF_2_0,Mapping_Strength,Phase,Mapping_Notes
OM-5.5.1,Rule,Governance – Board,"Board must ensure and approve a robust cyber security risk management policy, with clear ownership, decision-making and accountability; cyber security a standing Board agenda item",على مجلس الإدارة اعتماد سياسة إدارة مخاطر الأمن السيبراني وتحديد الملكية والمساءلة ومناقشتها على مستوى المجلس,Cl. 5.1; Cl. 5.2; A.5.1; A.5.4,GV.PO; GV.RR; GV.OV,direct,0,Board-level policy ownership = ISO leadership clauses + policy control; sits squarely in CSF Govern function
OM-5.5.2,Rule,Governance – Board,"Framework must include cyber security strategy, policy, approach/tools/methodology and an organisation-wide awareness programme",يجب أن يشمل الإطار الاستراتيجية والسياسة والمنهجية وبرنامج توعية شامل,Cl. 4.4; Cl. 6.2; A.5.1,GV.RM; GV.PO,direct,1,"Defines the framework's minimum architecture; each component is detailed by its own later section (.13 strategy, .15 policy, .16 approach)"
OM-5.5.3,Rule,Governance – Board,Framework must be developed in accordance with the NIST Cybersecurity Framework (summarised in Appendix C) and align with the licensee's risk management framework,يجب تطوير الإطار وفقاً لإطار NIST للأمن السيبراني وبما يتسق مع إطار إدارة المخاطر,Cl. 4.4; Cl. 6.1,GV.RM,direct,1,CBB names NIST CSF as the mandated reference model — the regulatory anchor for this crosswalk
OM-5.5.4,Guidance,Governance – Board,"Board should receive comprehensive cyber reports every meeting: KRIs/KPIs, control maturity, awareness status, incidents, penetration test results",ينبغي تزويد المجلس بتقارير دورية تشمل المؤشرات ونضج الضوابط والحوادث ونتائج اختبارات الاختراق,Cl. 9.3,GV.OV,partial,Cont.,Every-meeting cadence with pentest results reaching the Board directly — tighter than ISO Cl. 9.3's 'planned intervals'
OM-5.5.5,Rule,Governance – Board,Board must evaluate and approve the framework every three years or on significant change to the risk environment,يجب على المجلس تقييم الإطار واعتماده كل ثلاث سنوات أو عند تغير جوهري,Cl. 9.3; A.5.35,GV.OV,partial,Cont.,CBB fixes a 3-year maximum review cycle; ISO requires 'planned intervals' without a number
OM-5.5.6,Rule,Governance – Board,Independent cyber security risk function (separate from IT) reporting to risk management; foreign branches governed via head-office oversight,إنشاء وظيفة مستقلة لمخاطر الأمن السيبراني منفصلة عن تقنية المعلومات وتتبع إدارة المخاطر,A.5.2; A.5.3,GV.RR,direct,0,Independence from IT = ISO segregation of duties (A.5.3)
OM-5.5.7,Guidance,Governance – Board,Board should ensure appropriate resources are allocated to the cyber security risk function,ينبغي تخصيص موارد كافية لوظيفة مخاطر الأمن السيبراني,Cl. 7.1,GV.RR,direct,0,"Resourcing duty placed on the Board itself, not management — sharper than ISO Cl. 7.1's generic provision"
OM-5.5.8,Rule,Governance – Board,Cyber security risk function must be headed by a suitably qualified CISO with authority to implement the strategy,يجب أن يرأس الوظيفة رئيس أمن معلومات مؤهل يتمتع بالصلاحيات اللازمة,A.5.2,GV.RR,partial,0,ISO never mandates a CISO; A.5.2 only requires roles to be allocated — CBB names the post and its authority
OM-5.5.9,Guidance,Governance – Board,"Cyber security committee headed by an independent control-function senior manager (e.g. CFO/CRO), with business, IT, Risk and Compliance membership",ينبغي إنشاء لجنة للأمن السيبراني برئاسة مسؤول مستقل من وظائف الرقابة وعضوية الأعمال والتقنية والمخاطر والامتثال,A.5.2; A.5.4,GV.RR,direct,0,Amended May 2026 — verify current wording when citing
OM-5.5.10,Rule,Governance – Senior Management,"Senior management responsible for creating the framework, strategy and policy, resourcing, monitoring effectiveness, quarterly Board reporting on threats and incidents, and annual risk-level evaluation",الإدارة العليا مسؤولة عن إنشاء الإطار والاستراتيجية والسياسة والموارد والرقابة ورفع تقارير ربع سنوية للمجلس,Cl. 5.1; Cl. 5.3; A.5.4,GV.RR; GV.OV,partial,0,Quarterly Board reporting is fixed by rule; ISO leaves reporting frequency to the organisation
OM-5.5.11,Rule,Governance – Senior Management,"Ensure clear ownership and classification of all information assets, a regularly updated asset inventory, adequate cyber staffing, and regular certified training (Security+, CEH, CISSP, CISA, CISM)",ضمان ملكية وتصنيف الأصول المعلوماتية وجرد محدث وكوادر كافية وتدريب دوري معتمد,A.5.9; A.5.12; A.6.3; Cl. 7.2,ID.AM; PR.AT,partial,0,CBB names specific certifications — unusual granularity for a regulation
OM-5.5.12,Guidance,Governance – Senior Management,"Data classification approach: access, securing, retention (incl. backups), disposal, encryption need, appropriate use; data owner involved",منهجية تصنيف البيانات: الوصول والحماية والاحتفاظ والإتلاف والتشفير والاستخدام المناسب,A.5.10; A.5.12; A.5.13,ID.AM,direct,0,Owner-led classification; overlap-free category definitions is the stated design test
OM-5.5.13,Rule,Strategy,"Documented bank-wide strategy: position of cyber security, primary threats, risk approach, key elements, scope incl. third-party dependencies, response/recovery approach, stakeholder communication",استراتيجية موثقة على مستوى البنك تشمل التهديدات والمنهجية والنطاق بما فيه الأطراف الثالثة والاستجابة والتعافي والتواصل,Cl. 4.1; Cl. 5.2; Cl. 6.2,GV.OC; GV.RM,direct,1,Prescriptive strategy content list; third-party dependencies must be in scope by rule
OM-5.5.14,Guidance,Strategy,Strategy communicated to stakeholders and revised at least every three years; Appendix C usable as reference,تُبلَّغ الاستراتيجية لأصحاب المصلحة وتُراجع كل ثلاث سنوات على الأقل,Cl. 7.4,GV.PO,direct,1,Three-year refresh aligns with the Board framework review in .5
OM-5.5.15,Rule,Policy,"Written cyber security policy, Board/senior-management approved, reviewed at least annually, covering 11 mandated domains: asset, incident, vulnerability, configuration, access, third-party, secure development, change, training, resilience, network architecture",سياسة مكتوبة معتمدة تُراجع سنوياً وتغطي أحد عشر مجالاً إلزامياً من إدارة الأصول إلى بنية الشبكة الآمنة,A.5.1; A.5.37,GV.PO,partial,1,Composite rule: each of the 11 domains maps onto its own Annex A control family — expanded per-domain in the rationale docs
OM-5.5.16,Rule,Approach & Methodology,Policy implemented through a consistent risk-based approach with tools and methodologies commensurate with size and risk profile,تنفيذ السياسة بمنهجية قائمة على المخاطر تتناسب مع حجم المرخص له وملف مخاطره,Cl. 6.1,GV.RM,direct,1,Proportionality clause — effectively reads ISO's risk-based approach into the regulation
OM-5.5.17,Guidance,Approach & Methodology,"Playbooks for incident response and recovery with activation criteria, developed with business lines, senior-management approved, regularly reviewed",كتيبات إجراءات للاستجابة والتعافي بمعايير تفعيل واضحة تُعتمد من الإدارة العليا وتُراجع دورياً,A.5.24,RS.MA; ID.IM,direct,4,"'Playbooks' with activation criteria, business-line input and senior-management approval — echoes international cyber-resilience guidance"
OM-5.5.18,Rule,Prevention Controls,"Minimum preventive stack: EPP/EDR, DLP, firewalls/WAF/segmentation, security testing in development and after deployment, PAM, secure email gateway, secure web gateway, application whitelisting, MDM/BYOD, NAC, IAM",حد أدنى إلزامي من الضوابط الوقائية: حماية النقاط الطرفية ومنع تسرب البيانات وجدران الحماية وتجزئة الشبكة واختبار الأمان وإدارة الوصول المميز وبوابات البريد والويب الآمنة وإدارة الأجهزة المحمولة والتحكم بالوصول للشبكة وإدارة الهوية,A.5.15–A.5.18; A.8.1; A.8.2; A.8.7; A.8.12; A.8.19; A.8.20–A.8.23; A.8.29,PR.AA; PR.DS; PR.PS; PR.IR,partial,2,Composite rule: one CBB paragraph spans ~11 discrete technical control sets — per-item breakdown in rationale docs
OM-5.5.19,Rule,Prevention Controls,"Anti-spam and anti-spoofing email authentication: SPF, DKIM and DMARC",تطبيق ضوابط مكافحة الانتحال للبريد الإلكتروني: SPF وDKIM وDMARC,A.5.14; A.8.20,PR.PS,partial,2,"Named protocols — ISO states outcomes, never protocols; a clear prescriptiveness delta"
OM-5.5.20,Guidance,Prevention Controls,Subscribe to a cyber threat intelligence service to stay abreast of emerging threats and actors,الاشتراك في خدمة استخبارات التهديدات السيبرانية لمواكبة التهديدات الناشئة,A.5.7,ID.RA,direct,Cont.,"A subscription is expected, not merely a capability; A.5.7 (threat intelligence) is new in the 2022 Annex A"
OM-5.5.21,Rule,Prevention Controls,Single unified private email domain for customer communication; no third-party provider domains; strict rules on links in SMS/short messages; customer anti-fraud awareness campaigns,نطاق بريد إلكتروني خاص موحد للتواصل مع العملاء وقيود صارمة على الروابط وحملات توعية ضد الاحتيال,A.5.14,PR.PS,partial,2,Bahrain-specific consumer anti-fraud rule (amended Oct 2022) — extends beyond ISO/CSF scope; partial mapping only
OM-5.5.21A,Guidance,Prevention Controls,"Additional email domains permissible with CBB approval in limited cases (head office, arranged third-party services)",يجوز استخدام نطاقات إضافية بموافقة المصرف المركزي في حالات محدودة,A.5.14,PR.PS,none,2,Regulatory exception process — no direct ISO/CSF equivalent
OM-5.5.22,Rule,Risk Identification & Assessment,"Periodic cyber threat assessments covering threat entities, attack vectors across technologies, regional threat trends, dark web surveillance, and lessons from past attacks",تقييمات دورية للتهديدات تشمل الجهات المهددة ونواقل الهجوم والاتجاهات الإقليمية ومراقبة الويب المظلم,A.5.7,ID.RA,partial,1,Dark web surveillance is an unusually specific regulatory requirement
OM-5.5.23,Rule,Risk Identification & Assessment,"Periodic assessments of maturity, coverage and effectiveness of all cyber security controls, including likelihood-reduction analysis",تقييمات دورية لنضج وتغطية وفعالية جميع ضوابط الأمن السيبراني,Cl. 9.1; A.5.35; A.5.36,ID.IM; GV.OV,direct,Cont.,Adds effectiveness analysis (likelihood reduction) beyond ISO's conformity focus
OM-5.5.24,Guidance,Risk Identification & Assessment,Assessments should cover all critical technology systems; risk treatment plan for residual risks above tolerance,ينبغي أن تغطي التقييمات الأنظمة الحرجة مع خطة معالجة للمخاطر المتبقية فوق مستوى التحمل,Cl. 6.1.3,ID.RA; GV.RM,direct,1,Residual risks above tolerance require a treatment plan — direct Cl. 6.1.3 machinery
OM-5.5.25,Rule,Risk Identification & Assessment,"Regular technical vulnerability assessments across internal, external and third-party-connected technology; preferably monthly internal and weekly external",تقييمات فنية منتظمة للثغرات داخلياً وخارجياً ولاتصالات الأطراف الثالثة؛ شهرياً داخلياً وأسبوعياً خارجياً,A.8.8,ID.RA,partial,1,CBB prescribes cadences; ISO A.8.8 sets none
OM-5.5.26,Guidance,Risk Identification & Assessment,"Defines external technology (public-facing sites, apps, servers) and third-party connections (APIs, fintech, outsourcing providers)",تعريف التقنية الخارجية واتصالات الأطراف الثالثة كواجهات عامة وواجهات برمجية,A.8.8,ID.RA,direct,1,Definitional guidance for OM-5.5.25
OM-5.5.27,Rule,Risk Identification & Assessment,Vulnerability and patch management with remediation timeframes commensurate with the risk of each vulnerability,إدارة الثغرات والتحديثات الأمنية بمهل معالجة تتناسب مع خطورة كل ثغرة,A.8.8,ID.RA; PR.PS,direct,1,Remediation SLAs must be risk-proportionate and documented
OM-5.5.28,Rule,Risk Identification & Assessment,"Penetration testing at least twice yearly: risk-based per NIST/OWASP, grey- and black-box scope, certified testers, internal and external independent parties rotated at least every two years, on production or exact replica",اختبار اختراق مرتين سنوياً على الأقل وفق منهجية معترف بها وبمختبرين معتمدين مع تدوير الأطراف كل سنتين,A.5.35; A.8.8; A.8.29,ID.RA,partial,4,Twice-yearly frequency and provider rotation are CBB-specific; ISO mandates testing but no cadence
OM-5.5.29,Guidance,Risk Identification & Assessment,"CBB may require additional red teaming exercises testing detection and response across cyber, social and physical fronts",يجوز للمصرف المركزي طلب تمارين الفريق الأحمر لاختبار قدرات الكشف والاستجابة,A.5.35,ID.IM,direct,4,"Scope spans cyber, social and physical fronts; objective is detection/response capability, not vulnerability count"
OM-5.5.30,Rule,Risk Identification & Assessment,Red teaming results must be provided to CBB within one month of completion with a comprehensive remediation plan,تُقدَّم نتائج تمارين الفريق الأحمر للمصرف المركزي خلال شهر مع خطة معالجة شاملة,A.5.5,RS.CO,partial,4,Regulator-reporting obligation — Bahrain-specific
OM-5.5.31,Rule,Incident Detection & Management,"Incident management processes for timely detection, response and recovery, including a SIEM system",عمليات إدارة حوادث تضمن الكشف والاستجابة والتعافي في الوقت المناسب مع نظام SIEM,A.5.24; A.8.15; A.8.16,DE.CM; RS.MA,partial,3,SIEM is named technology mandated by rule — ISO would treat it as one way to satisfy logging/monitoring objectives
OM-5.5.32,Guidance,Incident Detection & Management,"SIEM should ingest real-time data from all relevant systems and initiate alerts, reports and response activities",ينبغي أن يستقبل نظام SIEM البيانات آنياً من جميع الأنظمة ويطلق التنبيهات والاستجابات,A.8.16,DE.CM,direct,3,"Adequacy bar: real-time ingestion from all relevant systems, alerting into the incident process"
OM-5.5.33,Guidance,Incident Detection & Management,Retain SIEM logs for five years or longer to detect low-and-slow attacks and support investigations,الاحتفاظ بسجلات SIEM خمس سنوات أو أكثر لدعم التحقيقات وكشف الهجمات البطيئة,A.5.33; A.8.15,DE.CM,partial,3,5-year retention is CBB-specific; ISO sets no period
OM-5.5.34,Guidance,Incident Detection & Management,"On detection, activate containment measures per incident type, including isolation or shutdown after weighing cost, business impact and operational risk",عند الكشف تُفعَّل إجراءات الاحتواء المناسبة لكل نوع حادث بما فيها العزل أو الإيقاف,A.5.26,RS.MI,direct,4,Isolation/shutdown authority should be pre-agreed; cost and business-impact weighing is explicit
OM-5.5.35,Rule,Incident Detection & Management,Establish a tailored SOC with SIEM log collection and monitoring; SOC maintains asset inventory and network diagrams,إنشاء مركز عمليات أمنية بقدرات جمع السجلات والمراقبة ويحتفظ بجرد الأصول ومخططات الشبكة,A.5.24; A.5.9; A.8.16,DE.CM; ID.AM,partial,3,SOC must also own the asset inventory and network diagrams — an unusual placement worth flagging in scoping
OM-5.5.36,Rule,Incident Detection & Management,"Regularly identify, test, review and update cyber risk scenarios and response plans; update SIEM use cases and rule sets when gaps are found",تحديث سيناريوهات المخاطر وخطط الاستجابة دورياً وتحديث حالات استخدام SIEM عند اكتشاف فجوات,A.5.24; A.5.27,ID.IM; DE.AE,direct,3,Closes the loop: scenario gaps must flow back into SIEM use cases and rule sets
OM-5.5.37,Guidance,Incident Detection & Management,"Scenario tests should include high-impact-low-probability events (DDoS, intrusion, exfiltration, disruption), refreshed with threat intelligence",ينبغي أن تشمل اختبارات السيناريوهات أحداثاً عالية الأثر منخفضة الاحتمال وتُحدَّث بالاستخبارات,A.5.24,ID.IM,direct,3,"High-impact-low-probability scenarios named: DDoS, intrusion, exfiltration, disruption"
OM-5.5.38,Rule,Incident Detection & Management,"Critical incidents escalated to incident response team, management and Board per BCP and crisis management plan, with prompt response",تصعيد الحوادث الحرجة لفريق الاستجابة والإدارة والمجلس وفق خطة استمرارية الأعمال وإدارة الأزمات,A.5.24; A.5.26,RS.MA; RS.CO,direct,4,Links to OM-5.5.57 CBB reporting
OM-5.5.39,Guidance,Incident Detection & Management,"Named roles with separated implementation/oversight: Incident Owner, Spokesperson, Record Keeper",أدوار محددة بمسؤوليات مفصولة: مالك الحادث والمتحدث الرسمي وأمين السجل,A.5.2; A.5.24,RS.MA,direct,4,Three named roles with implementation/oversight separation — usable verbatim in an IR plan
OM-5.5.40,Guidance,Incident Detection & Management,"Operate a situation/war room for critical incidents with defined authorities, reporting lines, channels and procedures",تشغيل غرفة عمليات للحوادث الحرجة بصلاحيات وخطوط إبلاغ وقنوات وإجراءات محددة,A.5.24,RS.MA,direct,4,Situation room may be physical or virtual; authorities and reporting lines must be pre-defined
OM-5.5.41,Guidance,Incident Detection & Management,"Maintain an incident log of notifications, decisions and actions, near-real-time, with status and owner, stored securely and legally admissibly",سجل حوادث يوثق الإخطارات والقرارات والإجراءات بشكل آمن وقابل للاعتماد قانونياً,A.5.27; A.5.28,RS.AN,direct,4,Legal admissibility echoes A.5.28 evidence collection
OM-5.5.42,Guidance,Incident Detection & Management,"Pre-defined incident taxonomy (cause, vector, channel, impact, intent, actor) and a three-tier severity framework",تصنيف مسبق للحوادث حسب السبب والناقل والأثر والنية والجهة مع إطار خطورة ثلاثي المستويات,A.5.25,DE.AE; RS.AN,direct,3,Taxonomy plus a three-tier severity scale — adoptable as-is in an incident policy
OM-5.5.43,Guidance,Incident Detection & Management,"Assess customer and systemic effects, report systemic impact to CBB; share non-sensitive intelligence (IoCs, vulnerabilities) via MISP platforms",تقييم الأثر على العملاء والنظام المصرفي وإبلاغ المصرف المركزي ومشاركة المعلومات غير الحساسة عبر منصات MISP,A.5.5; A.5.6,RS.CO,direct,4,MISP named as the sharing mechanism — a regional intelligence-sharing push beyond ISO
OM-5.5.44,Guidance,Incident Detection & Management,"Metrics for incident impact (downtime, records, customers, lost revenue, SLA breaches) and response performance (automation, dwell time, RTO/RPO met)",مقاييس لأثر الحوادث وأداء الاستجابة تشمل زمن التعطل وزمن البقاء وتحقق أهداف التعافي,Cl. 9.1,ID.IM,direct,Cont.,Dwell time and RTO/RPO satisfaction are named metrics — rare specificity for a regulator
OM-5.5.45,Rule,Recovery,"Identify critical systems and services for priority recovery, minimum service levels during downtime, and time to full restoration",تحديد الأنظمة والخدمات الحرجة للتعافي بالأولوية ومستويات الخدمة الدنيا وزمن العودة الكاملة,A.5.29; A.5.30,ID.AM; RC.RP,direct,4,"Recovery prioritisation must exist before an incident, not be improvised during one"
OM-5.5.46,Guidance,Recovery,"Defines critical incidents (BCP/crisis-plan triggers) and critical systems (material impact on finances, reputation, obligations, operations)",تعريف الحوادث الحرجة والأنظمة الحرجة ذات الأثر الجوهري على المال والسمعة والالتزامات والعمليات,A.5.29,RC.RP,direct,4,"Materiality test across finance, reputation, obligations and operations"
OM-5.5.47,Rule,Recovery,"Defined recovery programme with RTOs and RPOs, and communication with third parties, customers and external stakeholders as necessary",برنامج تعافٍ محدد بأهداف زمنية ونقاط استعادة مع التواصل مع الأطراف الخارجية عند الحاجة,A.5.30,RC.RP; RC.CO,direct,4,RTO and RPO are defined terms inside the rule itself
OM-5.5.48,Rule,Recovery,"All critical systems must recover from a cyber breach within the defined RTO, providing at least minimum temporary service",يجب تعافي الأنظمة الحرجة ضمن الهدف الزمني المحدد مع توفير حد أدنى مؤقت من الخدمة,A.5.30,RC.RP,direct,4,Recovery within RTO is itself the compliance test — measured through the .50 exercises
OM-5.5.49,Guidance,Recovery,"Validate recovered assets are compromise-free, functional and secure before return to operations; verify data integrity; use DR backups or reconstruct data where needed",التحقق من سلامة الأصول المستعادة وخلوها من الاختراق وتكامل البيانات قبل العودة للتشغيل,A.8.13,RC.RP,direct,4,Compromise-free validation before restoration guards against re-infecting from backups
